,Adrenal Glands,Bone Marrow,Brain,Colon,Heart,Kidney,Liver,Lung,Muscle,Pancreas,Small Intestine,Spleen,Thyroid,WAT
Adrenal Glands,0,0,1,0,0,1,1,0,1,1,0,0,0,1
Bone Marrow,,0,1,0,0,0,0,0,0,0,1,1,0,0
Brain,,,0,0,1,1,0,0,1,1,1,1,0,1
Colon,,,,0,0,0,0,0,0,0,1,0,0,0
Heart,,,,,0,1,0,1,0,1,0,0,1,0
Kidney,,,,,,0,1,0,1,0,0,0,0,0
Liver,,,,,,,0,0,0,1,0,1,1,1
Lung,,,,,,,,0,0,0,0,1,1,0
Muscle,,,,,,,,,0,1,0,0,1,1
Pancreas,,,,,,,,,,0,0,0,0,1
Small Intestine,,,,,,,,,,,0,1,0,0
Spleen,,,,,,,,,,,,0,0,0
Thyroid,,,,,,,,,,,,,0,1
WAT,,,,,,,,,,,,,,0
