,Adrenal Glands,Bone Marrow,Brain,Colon,Heart,Kidney,Liver,Lung,Muscle,Pancreas,Small Intestine,Spleen,Thyroid,WAT
Adrenal Glands,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bone Marrow,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Brain,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Colon,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Heart,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Kidney,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Liver,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Lung,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Muscle,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Pancreas,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Small Intestine,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Spleen,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Thyroid,1,1,1,1,1,1,1,1,1,1,1,1,0,1
WAT,1,1,1,1,1,1,1,1,1,1,1,1,1,0
